language;glottocode;lemma;pos;reference;meaning_ru;morph_deleted;target_ipa_morph;derived;target_ipa;russian_ipa;metathesis;problems;total_segments;match_count
Chamalal;cham1309;ЭРМЕНИ?ЙАЛИ;;Magomedova 1999;Армения;-li, PL;e-r-m-e-n-'i-j-a-l-i;1;e-r-m-e-n-'i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Godoberi;ghod1238;ЭРМ?НИЙА/Л;;Saidova 2006;Армения;-l, PL;e-r-m-'e-n-i-j-a-l;1;e-r-m-'e-n-i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Tindi;tind1238;АРМАНИ?Й/И;noun;Magomedova 2003;Армения;-ji, PL;a-r-m-a-n-'i-j-i;;a-r-m-a-n-'i;A-r-m?-'a-n?-E;;;6;5
Tindi;tind1238;ЭРМ?Н/?Й;;Magomedova 2003;армяне;;;;e-r-m-'a-n-a:-j-0;A-r-m?-'e-n?-I-j-A;;;8;4
Bagvalal;bagv1239;ЭРМЕН?ИЙАВ;;Magomedova 2004;Армения;-aw, CL;e-r-m-e-n-'i-j-a-w;;e-r-m-e-n-'i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Botlikh;botl1242;эрме?нийав;noun;Saidova, Abusov 2012;Армения;-aw, CL;e-r-m-'e-n-i-j-a-w;;e-r-m-'e-n-i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Chamalal;cham1309;ЭРМЕНИ?ЙО;;Magomedova 1999;Армения;-o, PL;e-r-m-e-n-'i-j-o;1;e-r-m-e-n-'i-j-0;A-r-m?-'e-n?-I-j-A;;;8;6
Godoberi;ghod1238;ЭРМ?НИЙА/В;;Saidova 2006;Армения;-w, CL;e-r-m-'e-n-i-j-a-w;;e-r-m-'e-n-i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Bagvalal;bagv1239;ЭРМЕН?ИЙАЙ;;Magomedova 2004;Армения;-j, CL;e-r-m-e-n-'i-j-a-j;1;e-r-m-e-n-'i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Botlikh;botl1242;эрме?нийай;noun;Saidova, Abusov 2012;Армения;-j, CL;e-r-m-'e-n-i-j-a-j;1;e-r-m-'e-n-i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Chamalal;cham1309;ЭРМЕНИ?ЙЕ;;Magomedova 1999;Армения;-e, CL;e-r-m-e-n-'i-j-e;;e-r-m-e-n-'i-j-0;A-r-m?-'e-n?-I-j-A;;;8;6
Godoberi;ghod1238;ЭРМ?НИЙА/Й;;Saidova 2006;Армения;-j, CL;e-r-m-'e-n-i-j-a-j;1;e-r-m-'e-n-i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Akhvakh;akhv1239;арте'ли;noun;Magomedova, Abdulayeva 2007;артель;;;;a-r-t-'e-l-i;A-r-t-'e-l?-0;;;6;5
